genus_full,genus_short,mean_abs_shap,mean_signed_shap,direction,mean_clr_cd,mean_clr_nonIBD
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__UMGS1649,g__UMGS1649,0.00765968531723569,-6.892634611214513e-18,nonIBD,-0.8378149097796598,-1.0005631638246872
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__RHBSTW-00994,g__RHBSTW-00994,0.0074910229602752135,7.401486830834377e-19,CD,-0.521303099249044,-0.9331205495322765
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flaviaesturariibacter,g__Flaviaesturariibacter,0.0071645130649922095,-6.469072962496843e-19,nonIBD,-0.617562629409782,-0.8452326035012384
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1889,g__UMGS1889,0.006254144934036187,1.5034270125132329e-19,CD,-0.08889964738922092,0.6459009690116398
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04,g__Firm-04,0.00574177285671255,6.938893903907229e-20,CD,0.5366975689069341,1.1317308317217543
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptoclostridium_A,g__Peptoclostridium_A,0.005406998021834447,-4.163336342344337e-19,nonIBD,-0.8589569145101218,-1.045997580902062
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG4076,g__RGIG4076,0.005397421259684277,-2.312964634635743e-19,nonIBD,-0.3602973413814681,0.11649380093580722
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TB5,g__TB5,0.005348764374645655,-1.1564823173178713e-18,nonIBD,-0.7380340543510107,-0.9460700846972288
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Domibacillaceae;g__Domibacillus,g__Domibacillus,0.0045685286405835615,2.9490299091605723e-19,CD,-0.6533001658985632,-0.966890978160409
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Daviesbacterales;f__UBA10151;g__2-12-FULL-37-11,g__2-12-FULL-37-11,0.0039548802023664335,8.789265611615823e-19,CD,-0.6052811624461067,-0.9929725414945291
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__NBML01,g__NBML01,0.0033657121771797725,-4.04768811061255e-18,nonIBD,-0.8454855385155791,-1.0745524617972986
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Oligella,g__Oligella,0.0029791457313475466,-1.4456028966473393e-18,nonIBD,-0.8747681078760826,-1.0745524617972986
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__JAGZMM01,g__JAGZMM01,0.0017344989327810535,3.758567531283082e-20,CD,0.30630840579034146,0.6623677584513487
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Faecivicinus,g__Faecivicinus,0.001502021915557586,1.1564823173178715e-20,CD,-0.0509330418648711,0.5664232587943917
d__Bacteria;p__OLB16;c__OLB16;o__SURF-12;f__SURF-12;g__JAFGTC01,g__JAFGTC01,0.0012127625039544613,3.1514143146911996e-19,CD,-0.7860855894189392,-1.0265693032629264
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__Fusibacter_A,g__Fusibacter_A,0.0009647080378113835,-2.8912057932946783e-19,nonIBD,-0.8054811551513349,-1.0226748146544424
