Model,AUC,Accuracy,F1,Precision,Recall
SVM,0.720 ± 0.154,0.693 ± 0.053,0.803 ± 0.036,0.692 ± 0.040,0.958 ± 0.052
Logistic Regression,0.657 ± 0.128,0.627 ± 0.053,0.750 ± 0.056,0.662 ± 0.041,0.876 ± 0.120
Random Forest,0.648 ± 0.134,0.667 ± 0.042,0.786 ± 0.027,0.678 ± 0.040,0.940 ± 0.049
XGBoost,0.640 ± 0.149,0.680 ± 0.107,0.778 ± 0.069,0.740 ± 0.142,0.860 ± 0.136
