Model,AUC (M | F),Δ AUC,Acc (M | F),Δ Acc,F1 (M | F),Δ F1,Prec (M | F),Δ Prec,Rec (M | F),Δ Rec
KW + SVM,0.067 | 0.257,0.190,0.366 | 0.324,0.042,0.000 | 0.000,0.000,0.000 | 0.000,0.000,0.000 | 0.000,0.000
KW + LogReg,0.941 | 0.779,0.162,0.805 | 0.735,0.070,0.826 | 0.780,0.046,0.950 | 0.889,0.061,0.731 | 0.696,0.035
PCA + SVM,0.864 | 0.676,0.188,0.707 | 0.559,0.148,0.714 | 0.615,0.099,0.938 | 0.750,0.188,0.577 | 0.522,0.055
PCA + LogReg,0.862 | 0.684,0.178,0.707 | 0.529,0.178,0.727 | 0.579,0.148,0.889 | 0.733,0.156,0.615 | 0.478,0.137
