Model,AUC,Accuracy,F1,Precision,Recall
XGBoost,0.501 ± 0.226,0.430 ± 0.048,0.167 ± 0.211,0.167 ± 0.211,0.167 ± 0.211
Logistic Regression,0.491 ± 0.050,0.500 ± 0.041,0.382 ± 0.321,0.318 ± 0.260,0.500 ± 0.447
SVM,0.487 ± 0.105,0.465 ± 0.072,0.327 ± 0.320,0.285 ± 0.245,0.433 ± 0.467
Random Forest,0.480 ± 0.169,0.430 ± 0.095,0.429 ± 0.168,0.536 ± 0.252,0.467 ± 0.267
