Model,AUC,Accuracy,F1,Precision,Recall
Logistic Regression,0.547 ± 0.040,0.518 ± 0.036,0.606 ± 0.085,0.538 ± 0.037,0.733 ± 0.226
SVM,0.543 ± 0.089,0.573 ± 0.098,0.676 ± 0.064,0.585 ± 0.089,0.833 ± 0.149
XGBoost,0.433 ± 0.151,0.427 ± 0.127,0.490 ± 0.123,0.471 ± 0.097,0.533 ± 0.194
Random Forest,0.376 ± 0.121,0.303 ± 0.134,0.353 ± 0.139,0.345 ± 0.116,0.367 ± 0.163
